127.0.0.1 - - [29/Aug/2019:12:47:34 +0900] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [29/Aug/2019:12:48:13 +0900] "GET /Sector/index.html HTTP/1.1" 200 8335
127.0.0.1 - - [29/Aug/2019:12:48:13 +0900] "GET /Sector/resources/css/main.css HTTP/1.1" 200 63179
127.0.0.1 - - [29/Aug/2019:12:48:13 +0900] "GET /Sector/images/SectorLogo.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Aug/2019:12:48:13 +0900] "GET /Sector/images/info01.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Aug/2019:12:49:36 +0900] "GET /Sector/index.html HTTP/1.1" 200 8335
127.0.0.1 - - [29/Aug/2019:12:49:36 +0900] "GET /Sector/resources/css/main.css HTTP/1.1" 200 63179
127.0.0.1 - - [29/Aug/2019:12:50:08 +0900] "GET /Sector/views/login.html HTTP/1.1" 200 3552
127.0.0.1 - - [29/Aug/2019:12:50:08 +0900] "GET /Sector/resources/css/login.css HTTP/1.1" 200 67933
127.0.0.1 - - [29/Aug/2019:13:36:14 +0900] "GET /Sector/images/SectorLogo.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Aug/2019:13:36:14 +0900] "GET /Sector/images/info01.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Aug/2019:13:36:19 +0900] "GET /Sector/index.html HTTP/1.1" 200 8335
127.0.0.1 - - [29/Aug/2019:13:36:21 +0900] "GET /Sector/index.html HTTP/1.1" 200 8335
127.0.0.1 - - [29/Aug/2019:14:37:05 +0900] "GET /Sector/resources/css/main.css HTTP/1.1" 200 63192
127.0.0.1 - - [29/Aug/2019:14:37:05 +0900] "GET /Sector/images/sample2.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Aug/2019:14:37:05 +0900] "GET /Sector/images/sample1.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Aug/2019:14:37:05 +0900] "GET /Sector/images/sample3.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Aug/2019:14:37:55 +0900] "GET /Sector/views/login.html HTTP/1.1" 200 3552
127.0.0.1 - - [29/Aug/2019:14:37:55 +0900] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 1114
127.0.0.1 - - [29/Aug/2019:14:37:56 +0900] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 1102
127.0.0.1 - - [29/Aug/2019:14:37:56 +0900] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1106
127.0.0.1 - - [29/Aug/2019:14:37:56 +0900] "GET /apple-touch-icon.png HTTP/1.1" 404 1094
127.0.0.1 - - [29/Aug/2019:14:37:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
