127.0.0.1 - - [02/Sep/2019:17:50:57 +0900] "GET /Sector/resources/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:50:57 +0900] "GET /Sector/resources/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:50:57 +0900] "GET /Sector/images/SectorLogo.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:50:57 +0900] "GET /Sector/resources/js/util.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:50:57 +0900] "GET /Sector/resources/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:50:57 +0900] "GET /Sector/resources/js/browser.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:50:57 +0900] "GET /Sector/resources/js/breakpoints.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:50:57 +0900] "GET /Sector/resources/css/fontawesome-all.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:50:58 +0900] "GET /Sector/views/enroll.html HTTP/1.1" 200 3781
127.0.0.1 - - [02/Sep/2019:17:50:58 +0900] "GET /Sector/resources/css/enroll.css HTTP/1.1" 200 70219
127.0.0.1 - - [02/Sep/2019:17:50:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [02/Sep/2019:17:52:45 +0900] "GET /Sector/views/enroll.html HTTP/1.1" 200 3781
127.0.0.1 - - [02/Sep/2019:17:52:45 +0900] "GET /Sector/resources/css/enroll.css HTTP/1.1" 200 71344
127.0.0.1 - - [02/Sep/2019:17:52:45 +0900] "GET /Sector/resources/css/enroll.css HTTP/1.1" 200 71344
127.0.0.1 - - [02/Sep/2019:17:52:46 +0900] "GET /Sector/views/enroll.html HTTP/1.1" 200 3781
127.0.0.1 - - [02/Sep/2019:17:52:46 +0900] "GET /Sector/resources/css/enroll.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:52:46 +0900] "GET /Sector/resources/css/enroll.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Sep/2019:17:52:47 +0900] "GET /Sector/views/enroll.html HTTP/1.1" 200 3781
127.0.0.1 - - [02/Sep/2019:17:52:47 +0900] "GET /Sector/resources/css/enroll.css HTTP/1.1" 304 -
